# Data printout from CCMC-simulation: version 1D-1.3
# Data type:  CORHEL  Solar/Heliosphere
# Run name:   Edwin_Harris_101024_SH_2
# Missing data:  -1.09951e+12
# Start Date, time: 2017/09/12  22:00:00
# Time R Lat Lon V_r V_lon V_lat B_r B_lon B_lat N T E_r E_lon E_lat V B P_ram BP 
# day AU deg deg km/s km/s km/s nT nT nT cm^-3 K mV/m mV/m mV/m km/s nT nPa [] 
  1.13986E-03  1.00621E+00  7.23043E+00  1.80000E+02  2.83334E+02  1.15275E+00 -1.26366E+00 -7.70298E-01  9.54537E-01  3.70123E-03  1.48623E+01  3.45674E+04 -1.21048E-03  7.52860E-05 -2.71340E-01  2.83339E+02  1.22659E+00  1.99543E+00 -1.00000E+00
  5.80662E-03  1.00621E+00  7.23038E+00  1.80000E+02  2.83318E+02  1.16309E+00 -1.27511E+00 -7.70947E-01  9.55414E-01  3.68104E-03  1.48777E+01  3.45788E+04 -1.22254E-03  5.98633E-05 -2.71582E-01  2.83323E+02  1.22768E+00  1.99727E+00 -1.00000E+00
  1.04736E-02  1.00621E+00  7.23033E+00  1.80000E+02  2.83301E+02  1.17354E+00 -1.28671E+00 -7.71595E-01  9.56297E-01  3.66025E-03  1.48931E+01  3.45902E+04 -1.23477E-03  4.41371E-05 -2.71826E-01  2.83307E+02  1.22877E+00  1.99911E+00 -1.00000E+00
  1.51407E-02  1.00621E+00  7.23028E+00  1.80000E+02  2.83285E+02  1.18409E+00 -1.29845E+00 -7.72252E-01  9.57184E-01  3.63861E-03  1.49086E+01  3.46017E+04 -1.24717E-03  2.80335E-05 -2.72071E-01  2.83291E+02  1.22987E+00  2.00097E+00 -1.00000E+00
  1.98100E-02  1.00621E+00  7.23023E+00  1.80000E+02  2.83269E+02  1.19475E+00 -1.31036E+00 -7.72908E-01  9.58077E-01  3.61632E-03  1.49242E+01  3.46132E+04 -1.25974E-03  1.16050E-05 -2.72317E-01  2.83275E+02  1.23098E+00  2.00284E+00 -1.00000E+00
  2.44813E-02  1.00621E+00  7.23019E+00  1.80000E+02  2.83253E+02  1.20552E+00 -1.32242E+00 -7.73572E-01  9.58975E-01  3.59312E-03  1.49399E+01  3.46247E+04 -1.27250E-03 -5.22289E-06 -2.72565E-01  2.83259E+02  1.23210E+00  2.00471E+00 -1.00000E+00
  2.91547E-02  1.00621E+00  7.23013E+00  1.80000E+02  2.83237E+02  1.21640E+00 -1.33464E+00 -7.74237E-01  9.59878E-01  3.56922E-03  1.49557E+01  3.46363E+04 -1.28543E-03 -2.23913E-05 -2.72815E-01  2.83243E+02  1.23322E+00  2.00661E+00 -1.00000E+00
  3.38291E-02  1.00620E+00  7.23008E+00  1.80000E+02  2.83221E+02  1.22738E+00 -1.34701E+00 -7.74909E-01  9.60787E-01  3.54437E-03  1.49716E+01  3.46480E+04 -1.29854E-03 -3.99718E-05 -2.73066E-01  2.83227E+02  1.23434E+00  2.00851E+00 -1.00000E+00
  3.85040E-02  1.00620E+00  7.23003E+00  1.80000E+02  2.83205E+02  1.23848E+00 -1.35955E+00 -7.75580E-01  9.61700E-01  3.51878E-03  1.49875E+01  3.46597E+04 -1.31184E-03 -5.79042E-05 -2.73318E-01  2.83211E+02  1.23548E+00  2.01042E+00 -1.00000E+00
  4.31796E-02  1.00620E+00  7.22999E+00  1.80000E+02  2.83189E+02  1.24968E+00 -1.37224E+00 -7.76259E-01  9.62619E-01  3.49219E-03  1.50036E+01  3.46715E+04 -1.32531E-03 -7.62631E-05 -2.73573E-01  2.83195E+02  1.23662E+00  2.01234E+00 -1.00000E+00
  4.78558E-02  1.00620E+00  7.22994E+00  1.80000E+02  2.83172E+02  1.26098E+00 -1.38509E+00 -7.76938E-01  9.63542E-01  3.46482E-03  1.50197E+01  3.46833E+04 -1.33896E-03 -9.49894E-05 -2.73828E-01  2.83179E+02  1.23776E+00  2.01428E+00 -1.00000E+00
  5.25326E-02  1.00620E+00  7.22988E+00  1.80000E+02  2.83156E+02  1.27240E+00 -1.39810E+00 -7.77625E-01  9.64471E-01  3.43640E-03  1.50359E+01  3.46951E+04 -1.35280E-03 -1.14158E-04 -2.74085E-01  2.83163E+02  1.23892E+00  2.01623E+00 -1.00000E+00
