Carrington Rotation Number,Start Date,End Date
2101,2010-09-08 20:35:00,2010-10-06 03:06:00
2102,2010-10-06 03:06:00,2010-11-02 10:06:00
2103,2010-11-02 10:06:00,2010-11-29 17:28:00
2104,2010-11-29 17:28:00,2010-12-27 01:11:00
2105,2010-12-27 01:11:00,2011-01-23 09:15:00
2115,2011-09-25 16:56:00,2011-10-22 23:46:00
2116,2011-10-22 23:46:00,2011-11-19 07:00:00
2117,2011-11-19 07:00:00,2011-12-16 14:35:00
2118,2011-12-16 14:35:00,2012-01-12 22:31:00
2128,2012-09-14 06:51:00,2012-10-11 13:29:00
2129,2012-10-11 13:29:00,2012-11-07 20:35:00
2130,2012-11-07 20:35:00,2012-12-05 04:02:00
2131,2012-12-05 04:02:00,2013-01-01 11:50:00
2141,2013-09-03 20:52:00,2013-10-01 03:17:00
2142,2013-10-01 03:17:00,2013-10-28 10:13:00
2143,2013-10-28 10:13:00,2013-11-24 17:32:00
2144,2013-11-24 17:32:00,2013-12-22 01:11:00
2145,2013-12-22 01:11:00,2014-01-18 09:12:00
2155,2014-09-20 17:10:00,2014-10-17 23:55:00
2156,2014-10-17 23:55:00,2014-11-14 07:05:00
2157,2014-11-14 07:05:00,2014-12-11 14:36:00
2158,2014-12-11 14:36:00,2015-01-07 22:29:00
2168,2015-09-10 07:07:00,2015-10-07 13:40:00
2169,2015-10-07 13:40:00,2015-11-03 20:41:00
2170,2015-11-03 20:41:00,2015-12-01 04:05:00
2171,2015-12-01 04:05:00,2015-12-28 11:49:00
2172,2015-12-28 11:49:00,2016-01-24 19:53:00
2182,2016-09-26 03:29:00,2016-10-23 10:21:00
2183,2016-10-23 10:21:00,2016-11-19 17:36:00
2184,2016-11-19 17:36:00,2016-12-17 01:12:00
2185,2016-12-17 01:12:00,2017-01-13 09:09:00
2195,2017-09-15 17:24:00,2017-10-13 00:04:00
2196,2017-10-13 00:04:00,2017-11-09 07:11:00
2197,2017-11-09 07:11:00,2017-12-06 14:39:00
2198,2017-12-06 14:39:00,2018-01-02 22:27:00
2208,2018-09-05 07:25:00,2018-10-02 13:51:00
2209,2018-10-02 13:51:00,2018-10-29 20:48:00
2210,2018-10-29 20:48:00,2018-11-26 04:08:00
2211,2018-11-26 04:08:00,2018-12-23 11:48:00
2212,2018-12-23 11:48:00,2019-01-19 19:50:00
2222,2019-09-22 03:43:00,2019-10-19 10:29:00
2223,2019-10-19 10:29:00,2019-11-15 17:40:00
2224,2019-11-15 17:40:00,2019-12-13 01:13:00
2225,2019-12-13 01:13:00,2020-01-09 09:06:00
2235,2020-09-10 17:40:00,2020-10-08 00:14:00
2236,2020-10-08 00:14:00,2020-11-04 07:17:00
2237,2020-11-04 07:17:00,2020-12-01 14:41:00
2238,2020-12-01 14:41:00,2020-12-28 22:26:00
2239,2020-12-28 22:26:00,2021-01-25 06:31:00
2249,2021-09-27 14:03:00,2021-10-24 20:56:00
2250,2021-10-24 20:56:00,2021-11-21 04:12:00
2251,2021-11-21 04:12:00,2021-12-18 11:48:00
2252,2021-12-18 11:48:00,2022-01-14 19:46:00
2262,2022-09-17 03:58:00,2022-10-14 10:39:00
2263,2022-10-14 10:39:00,2022-11-10 17:46:00
2264,2022-11-10 17:46:00,2022-12-08 01:14:00
2265,2022-12-08 01:14:00,2023-01-04 09:04:00
2275,2023-09-06 17:58:00,2023-10-04 00:25:00
2276,2023-10-04 00:25:00,2023-10-31 07:24:00
2277,2023-10-31 07:24:00,2023-11-27 14:44:00
2278,2023-11-27 14:44:00,2023-12-24 22:25:00
2279,2023-12-24 22:25:00,2024-01-21 06:27:00
2289,2024-09-22 14:17:00,2024-10-19 21:04:00
2290,2024-10-19 21:04:00,2024-11-16 04:16:00
2291,2024-11-16 04:16:00,2024-12-13 11:49:00
2292,2024-12-13 11:49:00,2025-01-09 19:44:00
