Complexity,Loss,Equation
1,542671.1,"471.95184"
3,542665.56,"A_CH_211_lag4 + 471.95697"
4,541121.7,"688.3986 - sqrt(P_CH90_211_lag3)"
6,540421.94,"615.0495 - sqrt(P_CH90_211_lag3 - P_CH30_211_lag3)"
8,539901.1,"(A_CH_211_lag4 * 466.5269) - (sqrt(P_CH90_211_lag3p5) + -654.12225)"
9,535483.2,"((A_CH_193_lag3 / (A_CH_211_lag4 + -0.3951127)) + A_CH_211_lag4) + 516.91016"
11,534256.1,"((-0.062918745 + A_CH_193_lag3) / ((A_CH_211_lag4 + -0.3180806) + A_CH_211_lag4)) + 467.68088"
12,532582.44,"(-3.7957783 / ((A_CH_211_lag4 * -337.37656) + sqrt(P_CH90_211_lag3p5 * 0.18990922))) + 471.09613"
14,532153.7,"(5.0140057 / ((A_CH_211_lag4 * -199.13652) + sqrt(P_CH90_211_lag3p5 * 0.06692298))) + (A_CH_211_lag4 + 470.4846)"
15,531217.44,"(-3.7367787 / ((A_CH_211_lag4 * -337.37656) + sqrt(P_CH90_211_lag3p5 * 0.18990922))) - (sqrt(P_CH90_211_lag3) + -689.9461)"
17,530950.56,"(-3.1262565 / ((A_CH_211_lag4 * -337.37656) + sqrt(P_CH90_211_lag3p5 * 0.18990959))) - ((sqrt(P_CH90_211_lag3) + -820.94025) * 0.7777613)"
