Complexity,Loss,Equation
1,542671.1,"471.94507"
3,542665.0,"A_CH_211_lag5 + 471.9562"
4,541062.1,"exp(A_CH_211_lag5 + 6.0810547)"
5,541032.94,"(A_CH_211_lag5 * 532.0331) + 432.91968"
6,540481.25,"(exp(A_CH_211_lag5) + A_CH_211_lag3) * 408.86108"
7,540147.9,"exp(A_CH_211_lag5 + 6.293796) - sqrt(P_CH90_193_lag3)"
8,539994.7,"((A_CH_211_lag3 * 443.41742) + 655.7756) - sqrt(P_CH90_211_lag3)"
9,539629.06,"sqrt(A_CH_211_lag4 * P_CH90_211_lag3) + (638.13544 - sqrt(P_CH90_211_lag3))"
10,539196.25,"(((A_CH_193_lag3 + A_CH_211_lag5) * 387.09433) + 528.3166) - sqrt(P_CH90_193_lag3)"
12,538902.94,"(((sqrt(P_CH90_193_lag3) / -198.93407) + (A_CH_211_lag5 + A_CH_211_lag3)) * 360.91718) + 623.30505"
13,538769.4,"(((sqrt(A_CH_211_lag4) + -6.340404) - (P_CH30_193_lag3 * -0.00017739364)) * sqrt(P_CH90_193_lag3)) + 1000.6227"
14,538528.9,"(sqrt(P_CH90_193_lag3) * ((exp(exp(A_CH_211_lag4)) - (P_CH30_193_lag3 * -0.00017638)) + -9.0525255)) + 1000.56915"
15,538237.1,"(((exp(sqrt(sqrt(A_CH_211_lag4))) + -7.6912813) - (P_CH30_193_lag3 * -0.0001754656)) * sqrt(P_CH90_193_lag3)) + 1000.57196"
16,538035.5,"(sqrt(P_CH90_193_lag3) * ((exp(A_CH_193_lag3 + sqrt(A_CH_211_lag4)) + -7.5099864) - (P_CH30_193_lag3 * -0.00017276643))) + 1006.46136"
17,537832.3,"(((exp(A_CH_211_lag5 + sqrt(sqrt(A_CH_211_lag4))) + -8.259038) - (P_CH30_193_lag3 * -0.00019599889)) * sqrt(P_CH90_193_lag3)) + 1031.0148"
18,537645.56,"(sqrt(P_CH90_193_lag3) * (exp(sqrt(A_CH_193_lag3 + A_CH_211_lag5) + 0.5823017) + (-9.056428 - (P_CH30_193_lag3 * -0.00019173033)))) + 1030.6514"
20,537621.94,"((sqrt(A_CH_211_lag3) + (((sqrt(A_CH_211_lag4) + (A_CH_211_lag5 * 2.4116182)) + -6.8410916) - (P_CH30_193_lag3 * -0.00018712012))) * sqrt(P_CH90_193_lag3)) + 1000.5871"
