Complexity,Loss,Equation
1,850874.94,"508.54248"
3,850831.5,"511.1702 - D_ch_R21_5"
4,847777.0,"720.78644 - sqrt(P_CH90_211_lag4)"
6,846194.1,"(44959.098 / sqrt(P_CH90_211_lag4)) + 278.50772"
7,827253.4,"(8.679697 / (D_ch_R5_0 - 0.82108825)) + 503.1936"
8,822587.6,"503.1936 + exp(-0.17011027 / (D_ch_R5_0 - 0.82108825))"
9,814404.56,"(Q_R21_5 / ((0.8099792 - D_ch_R5_0) / -14.802346)) + 509.77988"
11,811994.4,"((Q_R5_0 + 0.9278003) * (-17.661898 / (0.8111225 - D_ch_R21_5))) + 493.80133"
12,811965.8,"(((Q_R21_5 + exp(A_CH_211_lag5)) / (0.8110752 - D_ch_R5_0)) * -17.503939) + 492.78116"
13,809574.7,"(((Q_R21_5 + exp(cos(P_CH90_211_lag3))) * -15.9011135) / (0.81022984 - D_ch_R5_0)) + 489.03262"
14,803639.6,"(((Q_R21_5 / exp(cos(sqrt(P_CH90_211_lag3)))) * -10.870146) / (0.81937784 - D_ch_R5_0)) + 489.10693"
16,802763.3,"(((Q_R21_5 + exp(cos(sqrt(P_CH30_193_lag3p5) * P_CH30_193_lag3p5))) * -17.685852) / (0.8113763 - D_ch_R21_5)) + 489.9516"
17,801139.25,"(((((cos(sqrt(P_CH90_211_lag3)) * 3.2794986) + 0.87776303) + Q_R21_5) / (0.81357783 - D_ch_R5_0)) * -15.350549) + 489.93878"
18,801033.2,"(((Q_R5_0 + exp(cos(sqrt(P_CH30_193_lag3p5) * -1.2528244))) / (0.81235176 - D_ch_R21_5)) * (Q_R5_0 + -17.224703)) + 491.03183"
20,800106.1,"((((exp(cos(sqrt(P_CH90_211_lag3) * 1.4347726)) * 1.5774554) + Q_R21_5) / (0.8114488 - D_ch_R5_0)) * (Q_R5_0 + -15.985387)) + 489.91644"
