Complexity,Loss,Equation
1,831912.0,"506.07867"
3,831871.6,"509.11005 - D_ch_R5_0"
4,828960.6,"718.4055 - sqrt(P_CH90_211_lag4)"
6,827474.56,"414.53168 / cos(cos(log(P_CH90_211_lag4)))"
7,803787.9,"(5.7726774 / (3.3584056 - Q_R5_0)) + 502.2837"
9,803781.0,"((5.757717 / (3.3584056 - Q_R5_0)) - D_ch_R5_0) + 509.11005"
11,803666.0,"((-0.43638578 * 23.291195) / ((5.7726774 - Q_R5_0) + -9.970359)) + 508.03958"
12,789264.6,"(1.057842 / cos(2712.651 / cos(log(P_CH90_211_lag4) - 261.89377))) + 500.951"
15,789200.0,"((1.057842 / cos(2712.651 / cos(log(P_CH90_211_lag4) - 261.89377))) + 514.21155) - log(P_CH90_211_lag4)"
16,781325.56,"(((D_ch_R5_0 * A_CH_211_lag4) + 0.9932604) / cos(2712.651 / cos(log(P_CH90_211_lag4) - 261.89377))) + 500.951"
17,778350.9,"((exp(A_CH_211_lag4 * D_ch_R5_0) / cos(2712.651 / cos(261.89377 - log(P_CH90_211_lag4)))) + 247.81732) - -253.13365"
18,776339.8,"(exp(A_CH_211_lag4 * (log(D_ch_R5_0) + D_ch_R5_0)) / cos(2712.651 / cos(261.89377 - log(P_CH90_211_lag4)))) + 500.951"
