Complexity,Loss,Equation
1,471915.8,"467.3014"
3,471894.06,"P_CH30_211_lag4 + 467.3136"
4,471812.84,"exp(P_CH30_193_lag4) + 465.4677"
5,468977.5,"(0.024151687 ^ D_ch_R21_5) + 446.84183"
6,435981.03,"inv(D_ch_R5_0 + 1.6752529) + 463.14783"
7,403915.7,"inv(sin(1.7642866 / f_s_R21_5)) + 458.5501"
8,403853.03,"(0.97096664 / sin(1.7642866 / f_s_R21_5)) + 458.88034"
9,402261.03,"(cos(P_CH90_211_lag4) / sin(1.7642866 / f_s_R21_5)) + 459.7459"
10,401687.9,"((P_CH30_211_lag4 + 0.9634295) / sin(1.7642865 / f_s_R21_5)) + 460.00806"
11,400523.22,"inv((f_s_R21_5 * 0.020411588) + sin(0.5879172 / f_s_R5_0)) + 459.28607"
12,367939.9,"(inv(sin(1.7642866 / f_s_R21_5)) + inv(D_ch_R5_0 + 1.6752529)) + 454.07562"
13,366760.12,"inv(sin((sin(1.7642866 / f_s_R21_5) / cos(P_CH90_211_lag4)) / 0.9978247)) + 456.28632"
14,366291.4,"(inv(D_ch_R5_0 + 1.6752529) + (cos(P_CH90_211_lag4) / sin(1.7642866 / f_s_R21_5))) + 455.10037"
15,365729.28,"((P_CH30_211_lag4 + 0.963666) / sin(1.7642865 / f_s_R21_5)) + (inv(D_ch_R5_0 + 1.6752529) + 455.77466)"
