Complexity,Loss,Equation
1,477156.84,"468.17444"
3,477128.94,"P_CH30_211_lag3 + 468.17206"
4,477050.94,"exp(A_CH_211_lag3) + 465.5712"
5,474157.34,"(0.024261845 ^ D_ch_R21_5) + 447.6978"
6,441594.78,"inv(P_CH90_211_lag4 + -0.37878764) + 465.02676"
7,433542.56,"(-2.1875813 / (P_CH30_211_lag3 - 0.4675091)) + 465.02676"
9,426981.62,"((P_CH90_211_lag5 - 2.604121) / (P_CH30_211_lag3 - 0.46756738)) + 462.0158"
10,413520.03,"((inv(Q_R5_0) - 2.7892892) / (P_CH30_211_lag3 - 0.4675091)) + 463.1106"
11,392430.75,"((-3.8316903 / (P_CH30_211_lag3 - 0.46756735)) / (P_CH90_193_lag4 + 1.5057607)) + 457.73923"
13,392395.03,"P_CH30_211_lag3 + (458.30795 + ((-3.8316903 / (P_CH30_211_lag3 - 0.46756735)) / (1.5057607 + P_CH90_193_lag4)))"
14,391427.44,"(((P_CH90_211_lag5 - 2.5050097) / (P_CH30_211_lag3 - 0.46755794)) + inv(P_CH90_211_lag4 + -0.37878776)) + 468.37387"
15,377828.38,"(inv(P_CH90_211_lag4 + -0.3787878) + 465.02676) + ((inv(Q_R5_0) - 2.7892892) / (P_CH30_211_lag3 - 0.4675091))"
