Complexity,Loss,Equation
1,477156.84,"468.24472"
3,477128.94,"P_CH30_211_lag3 + 468.1721"
4,477051.0,"exp(A_CH_193_lag3) + 465.72427"
5,476780.2,"(A_CH_211_lag3 / P_CH30_193_lag4) + 468.9748"
6,440749.28,"463.97913 - inv(P_CH30_193_lag3 + 0.027465504)"
8,440716.12,"464.1668 - (inv(P_CH30_193_lag3 + 0.027328758) * 2.2862306)"
9,440596.16,"463.7985 - inv(exp(f_s_R5_0) * (P_CH30_193_lag3 + 0.027465504))"
10,440375.8,"463.7985 - inv((P_CH30_193_lag3 + 0.02745773) * sqrt(exp(A_CH_193_lag5)))"
11,414036.88,"(inv(P_CH30_193_lag3 + 0.06444073) + 463.76773) - inv(P_CH30_193_lag3 + 0.027465504)"
13,414025.06,"(inv(0.06444073 + P_CH30_193_lag3) + (463.76773 - inv(P_CH30_193_lag3 + 0.027465504))) + A_CH_211_lag5"
15,410990.34,"462.61478 - ((inv(P_CH30_193_lag3 + P_CH90_193_lag3) * (-4.7536864 - A_CH_193_lag3)) + inv(P_CH30_193_lag3 + 0.027465504))"
16,406488.88,"((463.76773 + inv(0.064441115 + P_CH30_193_lag3)) + inv(P_CH30_193_lag3 + 0.064441115)) - inv(0.027465504 + P_CH30_193_lag3)"
20,404972.5,"(456.7511 - inv(P_CH30_193_lag3 + 0.027465504)) - (inv((A_CH_211_lag5 * inv(P_CH90_211_lag3)) - ((P_CH90_193_lag4 + P_CH30_193_lag3) - 7.3338737)) * -28.3224)"
22,404155.62,"(464.58484 - (((-3.7495053 - A_CH_211_lag3) * inv(P_CH90_193_lag3 + P_CH30_193_lag3)) + inv(P_CH30_193_lag3 + 0.027465504))) - inv(P_CH90_193_lag3 + (0.027465504 + P_CH30_211_lag3))"
24,398799.72,"(464.58484 - (((-3.7495053 - (A_CH_211_lag3 / 0.30489582)) * inv(P_CH90_193_lag3 + P_CH30_193_lag3)) + inv(P_CH30_193_lag3 + 0.027465504))) - inv((P_CH90_193_lag3 + 0.027465504) + P_CH30_211_lag3)"
25,371699.12,"((462.03934 - inv(P_CH30_193_lag3 + 0.02746091)) - (inv((inv(P_CH90_211_lag3) * A_CH_211_lag5) - (P_CH90_193_lag4 + (P_CH30_193_lag3 - 7.333874))) * -28.3224)) + inv(P_CH90_193_lag3 + 1.2917063)"
27,371695.84,"(((inv(P_CH90_193_lag3 + 1.2917097) - 7.3338737) + 464.17334) - inv(P_CH30_193_lag3 + 0.027462633)) - (inv((inv(P_CH90_211_lag3) * A_CH_211_lag5) - ((P_CH90_193_lag4 + P_CH30_193_lag3) - 7.3338737)) * -28.3224)"
29,371627.56,"((((inv(P_CH90_193_lag3 + 1.2917082) - 7.3338737) - inv(P_CH30_193_lag3 + 0.027461907)) + P_CH30_211_lag3) + 463.76773) - (inv((inv(P_CH90_211_lag3) * A_CH_211_lag5) - (P_CH90_193_lag4 + (P_CH30_193_lag3 - 7.3338737))) * -28.3224)"
