Complexity,Loss,Equation
1,477156.84,"468.00668"
3,477128.94,"P_CH30_211_lag3 + 468.17215"
4,477051.0,"exp(A_CH_193_lag3) + 465.7245"
5,474157.4,"(0.02421755 ^ D_ch_R21_5) + 447.1423"
6,441402.38,"inv(A_CH_193_lag5 + -1.3533053) + 465.07047"
7,441331.97,"466.29337 + (-0.112583496 / (0.04182293 + D_ch_R5_0))"
8,440247.22,"(inv(A_CH_211_lag5 + 0.47331822) * 0.5085525) + 466.20682"
9,439232.4,"(cos(P_CH30_211_lag4) * inv(A_CH_211_lag5 + 0.47334722)) + 466.20682"
11,406610.72,"inv(A_CH_193_lag5 + 0.47335312) + (inv(A_CH_193_lag5 + -1.353313) + 466.20682)"
13,406606.22,"((inv(A_CH_193_lag5 + 0.47335312) + inv(A_CH_193_lag5 + -1.353313)) + 466.20682) - 0.78129923"
14,389444.12,"((inv((A_CH_211_lag5 - P_CH90_193_lag4) + 0.30555445) * 0.65829307) / (P_CH30_211_lag3 - 0.041813448)) + 468.17215"
15,387921.22,"(inv((A_CH_211_lag5 + 0.30555445) - P_CH90_193_lag4) * (cos(P_CH90_193_lag5) / (P_CH30_211_lag3 - 0.041813448))) + 468.17215"
16,377009.1,"(inv(A_CH_211_lag5 + (0.30554542 - P_CH90_193_lag4)) * ((P_CH30_211_lag3 + 0.7739037) / (P_CH30_211_lag3 - 0.038978435))) + 466.20682"
18,372386.9,"inv(A_CH_193_lag5 + -1.353313) + (inv(A_CH_193_lag5 + 0.47335312) + (468.2338 + inv((-0.49334818 + A_CH_193_lag5) - P_CH90_193_lag4)))"
19,365114.22,"((inv((A_CH_211_lag5 + 0.305447) - P_CH90_193_lag4) * ((P_CH30_211_lag3 + 0.633076) / P_CH30_211_lag3)) + 468.2338) + inv(A_CH_193_lag5 + 0.47335312)"
21,363330.28,"(inv(A_CH_211_lag5 + 0.47334728) * 0.7860986) + ((inv((A_CH_211_lag5 - P_CH90_193_lag4) + 0.30544633) * ((P_CH30_211_lag3 + 0.629843) / P_CH30_211_lag3)) + 466.03094)"
23,361202.47,"(((0.64003164 / P_CH30_211_lag3) + (Q_R5_0 + 1.2874033)) * inv((A_CH_211_lag5 + 0.3054467) - P_CH90_193_lag4)) + (468.70715 + (0.81080717 * inv(A_CH_211_lag5 + 0.47335)))"
25,360423.84,"(((((0.629843 / P_CH30_211_lag3) + Q_R5_0) + 1.2874033) * (inv((A_CH_211_lag5 + 0.30544493) - P_CH90_193_lag4) + 1.7093648)) + (inv(A_CH_193_lag5 + 0.47333366) * 0.65740824)) + 468.70715"
26,330703.8,"(inv(A_CH_211_lag5 + (-0.49334818 - P_CH90_193_lag4)) + ((inv(A_CH_211_lag5 + (0.30539107 - P_CH90_193_lag4)) * ((P_CH30_211_lag3 + 0.62984306) / P_CH30_211_lag3)) + 468.17215)) + inv(A_CH_193_lag5 + 0.47335312)"
27,322040.44,"(cos(P_CH30_211_lag5) * (inv(0.30555445 + (A_CH_211_lag5 - P_CH90_193_lag4)) / (P_CH30_211_lag3 - 0.03920691))) + ((inv(A_CH_211_lag5 + (-0.49334818 - P_CH90_193_lag4)) + 468.2338) + inv(A_CH_193_lag5 + 0.47335312))"
