Complexity,Loss,Equation
1,2915.939,"399.0203"
3,2914.6946,"A_CH30_193_lag4p5 + 399.02"
4,2491.8254,"sqrt(speed_p27 * 400.40942)"
5,2478.7656,"(speed_p27 * 0.42086324) + 230.58185"
6,2429.2744,"sqrt(speed_p3 + speed_p27) * 14.05038"
7,2383.9534,"((speed_p3 + 653.91) * speed_p27) ^ 0.4622497"
8,2370.7258,"(exp(A_CH30_193_lag4p5) * (speed_p27 ^ 0.8534393)) + 226.00882"
9,2290.3289,"sqrt(A_CH60_193_lag4p5 * P_CH30_211_lag4) + (sqrt(speed_p27) * 18.903059)"
10,2249.6182,"((speed_p27 ^ 0.84592724) + sqrt(A_CH60_193_lag4p5 * P_CH30_211_lag4)) + 219.1893"
11,2163.0632,"sqrt(A_CH60_193_lag4 * P_CH30_211_lag4p5) + (sqrt(speed_p3 + speed_p27) * 13.311913)"
12,2158.0137,"(sqrt(speed_p3 + speed_p27) * 13.218589) + ((A_CH60_193_lag4 * P_CH30_211_lag4p5) ^ 0.5157699)"
13,2088.7158,"(sqrt(speed_p27 + speed_p3) * 12.986786) + sqrt(P_CH30_211_lag4 * (A_CH30_193_lag3p5 + A_CH60_193_lag5))"
14,2087.9758,"((P_CH30_211_lag4 * (A_CH60_193_lag5 + A_CH30_193_lag3p5)) ^ 0.50531566) - (sqrt(speed_p3 + speed_p27) * -12.944014)"
15,2056.3047,"(sqrt(A_CH30_193_lag3p5 + A_CH60_193_lag5) * (P_CH30_211_lag4 * 0.005391918)) + sqrt((speed_p3 + speed_p27) * 172.80583)"
