Complexity,Loss,Equation
1,2869.2576,"393.02023"
3,2868.197,"A_CH30_193_lag4p5 - -393.0204"
4,2308.6965,"sqrt(speed_p27) * 19.922445"
5,2299.786,"(speed_p27 * 0.48695177) + 201.57559"
6,2287.705,"sqrt((speed_p27 * 367.54675) + P_CH60_193_lag4)"
7,2219.4644,"sqrt(sqrt(speed_p3 * 389.19156) * speed_p27)"
8,2199.2166,"sqrt(speed_p27 * ((speed_p3 * A_CH90_193_lag4) + 370.99237))"
9,2111.844,"sqrt(A_CH60_193_lag4 * P_CH30_211_lag4p5) + sqrt(speed_p27 * 351.8912)"
10,2097.4348,"((speed_p27 * 0.38385424) + 220.22787) + sqrt(A_CH60_193_lag4 * P_CH30_211_lag4p5)"
11,2045.4497,"(sqrt(speed_p3 + speed_p27) * 13.1997595) + sqrt(A_CH60_193_lag4 * P_CH30_211_lag4p5)"
12,2028.7133,"sqrt((A_CH30_193_lag3p5 + A_CH60_193_lag5) * P_CH30_211_lag4) + (225.7354 - (speed_p27 * -0.34915996))"
13,1978.3533,"sqrt((speed_p3 + speed_p27) * 166.32025) + sqrt(P_CH30_211_lag4 * (A_CH60_193_lag5 + A_CH30_193_lag3p5))"
14,1970.36,"((P_CH30_211_lag3p5 * 0.0038620506) * sqrt(sqrt(A_CH30_193_lag4))) + sqrt((speed_p27 + speed_p3) * 180.06615)"
15,1912.7026,"(sqrt(A_CH30_193_lag3p5 + A_CH60_193_lag5) * (P_CH30_211_lag4 * 0.0055815973)) + sqrt((speed_p3 + speed_p27) * 168.90381)"
