Complexity,Loss,Equation
1,3081.102,"403.02023"
3,3079.6643,"A_CH30_193_lag4p5 + 403.02036"
4,2585.804,"sqrt(speed_p27) * 20.136845"
5,2579.407,"(speed_p27 * 0.4467082) + 222.73335"
6,2528.9724,"sqrt(A_CH30_193_lag4p5 * P_CH90_211_lag4) + 388.0202"
7,2385.247,"((A_CH90_193_lag4 + 0.2899586) * speed_p27) + 265.23114"
8,2367.4885,"sqrt(P_CH90_211_lag3p5 * (A_CH30_193_lag4 + A_CH60_193_lag5)) + 370.02698"
9,2311.367,"sqrt(speed_p27 * 364.8935) + sqrt(P_CH30_211_lag4 * A_CH60_193_lag4p5)"
10,2269.826,"sqrt(A_CH60_193_lag4p5 * P_CH60_211_lag3p5) + ((speed_p27 ^ 0.84139633) - -223.40337)"
11,2193.2456,"sqrt(A_CH60_193_lag4 * P_CH60_211_lag3p5) + (sqrt(speed_p3 + speed_p27) * 13.276316)"
12,2177.0122,"sqrt(P_CH30_211_lag4 * (A_CH60_193_lag5 + A_CH30_193_lag3p5)) + ((speed_p27 ^ 0.3326459) * 51.241547)"
13,2104.4126,"(sqrt(speed_p3 + speed_p27) * 13.181986) + sqrt(P_CH30_211_lag4 * (A_CH60_193_lag4p5 + A_CH30_193_lag3p5))"
15,2093.5916,"((sqrt(speed_p27) + (speed_p3 ^ 0.4421172)) * 10.941292) + sqrt(P_CH30_211_lag4 * (A_CH60_193_lag5 + A_CH30_193_lag3p5))"
