Complexity,Loss,Equation
1,2626.1414,"393.01514"
3,2625.0286,"A_CH30_193_lag4p5 + 393.01514"
4,2385.6345,"sqrt(speed_p27 * 391.4897)"
5,2342.499,"(speed_p27 ^ 0.85120547) + 230.71277"
6,2231.7847,"sqrt((speed_p3 + speed_p27) * 193.76785)"
7,2226.9153,"((speed_p3 + speed_p27) * 0.261508) + 183.17593"
8,2208.1797,"sqrt(speed_p27 + speed_p3) * (A_CH30_193_lag4p5 + 13.888364)"
9,2147.324,"sqrt(exp(A_CH30_193_lag4p5) * ((speed_p3 + speed_p27) * 186.32126))"
10,2125.5327,"sqrt(speed_p27 + speed_p3) * ((A_CH30_193_lag4p5 ^ 0.0020352558) + 13.524638)"
11,2052.34,"sqrt(A_CH60_193_lag4p5 * P_CH30_211_lag4) - (sqrt(speed_p3 + speed_p27) * -13.239772)"
12,2045.2231,"sqrt(((A_CH30_193_lag4p5 ^ 0.05597523) * P_CH90_211_lag4p5) + ((speed_p3 + speed_p27) * 181.01794))"
13,1999.6597,"sqrt((speed_p27 + speed_p3) * 167.54863) + sqrt((A_CH60_193_lag5 + A_CH30_193_lag3p5) * P_CH30_211_lag4p5)"
14,1996.5145,"(((speed_p3 + speed_p27) * 0.2061316) + 200.5291) + sqrt((A_CH30_193_lag3p5 + A_CH60_193_lag5) * P_CH30_211_lag4p5)"
15,1963.6747,"(sqrt(A_CH60_193_lag5 + A_CH30_193_lag3p5) * (P_CH30_211_lag4 * 0.005409701)) + sqrt((speed_p27 + speed_p3) * 173.34378)"
