Complexity,Loss,Equation
1,2998.123,"405.01892"
3,2996.851,"A_CH30_193_lag4p5 + 405.01996"
4,2622.5679,"sqrt(speed_p27 * 406.96564)"
5,2599.723,"(speed_p27 * 0.3952078) + 244.6933"
6,2567.0923,"sqrt((speed_p3 + speed_p27) * 200.0161)"
7,2539.7034,"sqrt(exp(A_CH90_193_lag4p5) * (speed_p27 * 379.31824))"
8,2490.5454,"(exp(A_CH30_193_lag4p5) * (speed_p27 ^ 0.84377563)) + 238.53398"
9,2432.5188,"sqrt(exp(A_CH30_193_lag4) * (speed_p3 + speed_p27)) * 13.843146"
10,2383.178,"sqrt(A_CH60_193_lag4p5 * P_CH30_211_lag4) + ((speed_p27 ^ 0.8373766) + 228.47765)"
11,2303.5308,"(sqrt(speed_p3 + speed_p27) * 13.319519) + sqrt(P_CH30_211_lag4p5 * A_CH60_193_lag4)"
12,2300.7007,"((speed_p27 ^ 0.3146213) * 56.24571) + sqrt(P_CH30_211_lag4p5 * (A_CH60_193_lag5 + A_CH30_193_lag3p5))"
13,2225.4153,"(sqrt(speed_p27 + speed_p3) * 12.946446) + sqrt((A_CH60_193_lag5 + A_CH30_193_lag3p5) * P_CH30_211_lag4)"
15,2215.9353,"sqrt(P_CH30_211_lag4 * (A_CH60_193_lag5 + A_CH30_193_lag3p5)) + (((speed_p3 ^ 0.45088133) + sqrt(speed_p27)) * 10.539971)"
